*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=buck-f
*Date=03:48:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
150;;;15.4871;-17.4987;0;Bottom;TXT2
151;;[THT];233.965;-5.60532;0;Bottom;SW8
152;;;22.9626;-17.5604;0;Bottom;TXT10
153;;;234.064;-41.7576;0;Bottom;TXT5
154;;;40.3708;-40.355;0;Bottom;TXT2
155;;;227.001;-50.76;0;Bottom;Hole7
156;;;10.4422;-45.3625;0;Bottom;TXT10
157;;;40.3558;-37.806;0;Bottom;TXT2
158;;;23.5009;-35.3404;0;Bottom;TXT10
159;;;22.9626;-32.8004;0;Bottom;TXT10
160;;[THT];223.802;-5.60447;0;Bottom;SW7
161;;THT;111.68;-50.6894;90;Bottom;J6
162;;;15.4984;-35.2893;0;Bottom;TXT2
163;;;146.301;-23.0239;0;Bottom;Via11
164;;;6.03464;-17.5798;0;Bottom;TXT1
